cas_entry,pdb_id,pdb_path,pdb_dir,is_overlap
cas0002,3WK6,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wk6\3wk6.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wk6,False
cas0002,3WK7,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wk7\3wk7.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wk7,False
cas0002,3WK8,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wk8\3wk8.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wk8,False
cas0002,3WK9,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wk9\3wk9.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wk9,False
cas0002,3WKA,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wka\3wka.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wka,False
cas0002,3WKB,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wkb\3wkb.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wkb,False
cas0002,3WKC,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wkc\3wkc.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wkc,False
cas0002,3WKD,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wkd\3wkd.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wkd,False
cas0002,3WKE,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wke\3wke.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\3wke,False
cas0002,4HAI,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4hai\4hai.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4hai,False
cas0002,4J03,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4j03\4j03.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4j03,False
cas0002,4OCZ,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4ocz\4ocz.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4ocz,False
cas0002,4OD0,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4od0\4od0.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4od0,False
cas0002,4Y2J,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2j\4y2j.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2j,False
cas0002,4Y2P,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2p\4y2p.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2p,False
cas0002,4Y2Q,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2q\4y2q.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2q,False
cas0002,4Y2R,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2r\4y2r.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2r,False
cas0002,4Y2S,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2s\4y2s.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2s,False
cas0002,4Y2T,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2t\4y2t.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2t,False
cas0002,4Y2U,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2u\4y2u.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2u,False
cas0002,4Y2V,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2v\4y2v.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2v,False
cas0002,4Y2X,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2x\4y2x.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2x,False
cas0002,4Y2Y,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2y\4y2y.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\4y2y,False
cas0002,5AHX,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ahx\5ahx.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ahx,False
cas0002,5AI0,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ai0\5ai0.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ai0,False
cas0002,5AI4,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ai4\5ai4.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ai4,False
cas0002,5AI5,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ai5\5ai5.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ai5,False
cas0002,5AI6,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ai6\5ai6.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ai6,False
cas0002,5AI8,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ai8\5ai8.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ai8,False
cas0002,5AI9,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ai9\5ai9.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ai9,False
cas0002,5AIA,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aia\5aia.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aia,False
cas0002,5AIB,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aib\5aib.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aib,False
cas0002,5AIC,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aic\5aic.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aic,False
cas0002,5AK3,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ak3\5ak3.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ak3,False
cas0002,5AK4,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ak4\5ak4.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ak4,False
cas0002,5AK5,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ak5\5ak5.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ak5,False
cas0002,5AK6,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ak6\5ak6.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ak6,False
cas0002,5AKE,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ake\5ake.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ake,False
cas0002,5AKG,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akg\5akg.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akg,False
cas0002,5AKH,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akh\5akh.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akh,False
cas0002,5AKI,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aki\5aki.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aki,False
cas0002,5AKJ,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akj\5akj.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akj,False
cas0002,5AKK,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akk\5akk.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akk,False
cas0002,5AKL,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akl\5akl.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akl,False
cas0002,5AKX,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akx\5akx.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akx,False
cas0002,5AKY,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aky\5aky.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aky,False
cas0002,5AKZ,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akz\5akz.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5akz,False
cas0002,5ALD,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ald\5ald.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ald,False
cas0002,5ALE,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ale\5ale.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ale,False
cas0002,5ALF,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alf\5alf.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alf,False
cas0002,5ALG,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alg\5alg.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alg,False
cas0002,5ALH,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alh\5alh.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alh,False
cas0002,5ALI,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ali\5ali.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5ali,False
cas0002,5ALJ,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alj\5alj.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alj,False
cas0002,5ALK,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alk\5alk.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alk,False
cas0002,5ALL,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5all\5all.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5all,False
cas0002,5ALM,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alm\5alm.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alm,False
cas0002,5ALN,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aln\5aln.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aln,False
cas0002,5ALO,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alo\5alo.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alo,False
cas0002,5ALP,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alp\5alp.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alp,False
cas0002,5ALQ,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alq\5alq.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alq,False
cas0002,5ALR,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alr\5alr.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alr,False
cas0002,5ALS,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5als\5als.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5als,False
cas0002,5ALT,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alt\5alt.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alt,False
cas0002,5ALU,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alu\5alu.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alu,False
cas0002,5ALV,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alv\5alv.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alv,False
cas0002,5ALW,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alw\5alw.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alw,False
cas0002,5ALX,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alx\5alx.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alx,False
cas0002,5ALY,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aly\5aly.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5aly,False
cas0002,5ALZ,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alz\5alz.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5alz,False
cas0002,5AM0,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5am0\5am0.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5am0,False
cas0002,5AM1,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5am1\5am1.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5am1,False
cas0002,5AM2,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5am2\5am2.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5am2,False
cas0002,5AM3,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5am3\5am3.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5am3,False
cas0002,5AM4,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5am4\5am4.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5am4,False
cas0002,5AM5,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5am5\5am5.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5am5,False
cas0002,5FP0,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5fp0\5fp0.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0002\5fp0,False
cas0003,1OKY,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\1oky\1oky.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\1oky,False
cas0003,1OKZ,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\1okz\1okz.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\1okz,False
cas0003,1UU3,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\1uu3\1uu3.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\1uu3,False
cas0003,1UU7,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\1uu7\1uu7.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\1uu7,False
cas0003,1UU8,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\1uu8\1uu8.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\1uu8,False
cas0003,2BIY,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\2biy\2biy.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\2biy,False
cas0003,2R7B,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\2r7b\2r7b.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\2r7b,False
cas0003,2XCH,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\2xch\2xch.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\2xch,False
cas0003,2XCK,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\2xck\2xck.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\2xck,False
cas0003,3H9O,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3h9o\3h9o.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3h9o,False
cas0003,3HRC,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3hrc\3hrc.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3hrc,False
cas0003,3HRF,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3hrf\3hrf.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3hrf,True
cas0003,3ION,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3ion\3ion.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3ion,False
cas0003,3IOP,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3iop\3iop.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3iop,False
cas0003,3ORX,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3orx\3orx.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3orx,True
cas0003,3ORZ,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3orz\3orz.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3orz,True
cas0003,3OTU,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3otu\3otu.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3otu,True
cas0003,3PWY,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3pwy\3pwy.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3pwy,False
cas0003,3QC4,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qc4\3qc4.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qc4,False
cas0003,3QCQ,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qcq\3qcq.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qcq,False
cas0003,3QCS,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qcs\3qcs.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qcs,False
cas0003,3QCX,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qcx\3qcx.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qcx,False
cas0003,3QCY,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qcy\3qcy.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qcy,False
cas0003,3QD0,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qd0\3qd0.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qd0,False
cas0003,3QD3,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qd3\3qd3.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qd3,False
cas0003,3QD4,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qd4\3qd4.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3qd4,False
cas0003,3RCJ,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3rcj\3rcj.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3rcj,False
cas0003,3RWP,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3rwp\3rwp.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3rwp,False
cas0003,3RWQ,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3rwq\3rwq.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3rwq,False
cas0003,3SC1,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3sc1\3sc1.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\3sc1,False
cas0003,4A06,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4a06\4a06.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4a06,True
cas0003,4A07,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4a07\4a07.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4a07,True
cas0003,4AW0,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4aw0\4aw0.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4aw0,True
cas0003,4AW1,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4aw1\4aw1.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4aw1,True
cas0003,4CT1,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4ct1\4ct1.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4ct1,True
cas0003,4CT2,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4ct2\4ct2.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4ct2,False
cas0003,4RQK,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4rqk\4rqk.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4rqk,True
cas0003,4RQV,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4rqv\4rqv.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4rqv,True
cas0003,4RRV,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4rrv\4rrv.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4rrv,False
cas0003,4XX9,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4xx9\4xx9.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\4xx9,True
cas0003,5ACK,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\5ack\5ack.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\5ack,True
cas0003,5HKM,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\5hkm\5hkm.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\5hkm,False
cas0003,5HNG,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\5hng\5hng.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\5hng,False
cas0003,5HO7,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\5ho7\5ho7.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\5ho7,False
cas0003,5HO8,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\5ho8\5ho8.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\5ho8,False
cas0003,5LVL,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\5lvl\5lvl.pdb,F:\research_plan\allosteric\data\raw\casbench\CASBench_Download\cas0003\5lvl,True
